movie_title,original_title,type,description,content_rating,genres
The Shawshank Redemption,The Shawshank Redemption,movie,A wrongfully convicted banker forms a close friendship with a hardened convict over a quarter century while retaining his humanity through simple acts of compassion.,R,"['Epic', 'Period Drama', 'Prison Drama', 'Psychological Drama', 'Drama']"
The Godfather,The Godfather,movie,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,R,"['Epic', 'Gangster', 'Psychological Drama', 'Tragedy', 'Crime', 'Drama']"
The Dark Knight,The Dark Knight,movie,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",PG-13,"['DC', 'Action Epic', 'Epic', 'Psychological Drama', 'Psychological Thriller', 'Superhero', 'Crime', 'Thriller']"
The Godfather Part II,The Godfather Part II,movie,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",R,"['Epic', 'Gangster', 'Tragedy', 'Crime', 'Drama']"
12 Angry Men,12 Angry Men,movie,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Approved,"['Legal Drama', 'Psychological Drama', 'Crime', 'Drama']"
The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,movie,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,PG-13,"['Lord of the Rings', 'Action Epic', 'Adventure Epic', 'Epic', 'Fantasy Epic', 'Mountain Adventure', 'Quest', 'Sword & Sorcery', 'Tragedy', 'Adventure']"
Schindler's List,Schindler's List,movie,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",R,"['Docudrama', 'Epic', 'Historical Epic', 'Period Drama', 'Prison Drama', 'Psychological Drama', 'Tragedy', 'Biography', 'Drama', 'History']"
The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,movie,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,PG-13,"['Lord of the Rings', 'Action Epic', 'Adventure Epic', 'Dark Fantasy', 'Epic', 'Fantasy Epic', 'Quest', 'Sword & Sorcery', 'Adventure', 'Drama']"
Pulp Fiction,Pulp Fiction,movie,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",R,"['Dark Comedy', 'Drug Crime', 'Gangster', 'Crime', 'Drama']"
"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",movie,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,R,"['Action Epic', 'Adventure Epic', 'Dark Comedy', 'Desert Adventure', 'Epic', 'Period Drama', 'Quest', 'Spaghetti Western', 'Western Epic', 'Adventure']"
The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,movie,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",PG-13,"['Lord of the Rings', 'Action Epic', 'Adventure Epic', 'Dark Fantasy', 'Epic', 'Fantasy Epic', 'Quest', 'Sword & Sorcery', 'Adventure', 'Drama']"
Forrest Gump,Forrest Gump,movie,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",PG-13,"['Epic', 'Period Drama', 'Romantic Epic', 'Tragic Romance', 'Drama', 'Romance']"
Fight Club,Fight Club,movie,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,R,"['Dark Comedy', 'Psychological Drama', 'Psychological Thriller', 'Workplace Drama', 'Crime', 'Drama', 'Thriller']"
Inception,Inception,movie,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO, but his tragic past may doom the project and his team to disaster.",PG-13,"['Action Epic', 'Adventure Epic', 'Epic', 'Psychological Thriller', 'Sci-Fi Epic', 'Adventure', 'Sci-Fi', 'Thriller']"
